Time,Amount,Price,Side,ID
1545696529797,0.0068,443949,0,27736443
1545696529951,0.0124,444189,1,27736444
1545696531717,0.0032,443949,0,27736445
1545696531742,0.0048,443949,0,27736446
1545696531854,0.1333,443953,1,27736447
1545696531878,0.2000,444165,1,27736448
1545696531902,0.2150,444188,1,27736449
1545696531926,0.3270,444189,1,27736450
1545696532811,0.0160,444120,0,27736451
1545696532933,0.0200,444163,1,27736452
1545696533062,0.0101,444163,1,27736453
1545696533157,0.0035,444163,1,27736454
1545696533180,0.0066,444190,1,27736455
1545696533323,0.0474,444190,1,27736456
1545696533351,0.0010,444413,1,27736457
1545696533376,0.0031,444428,1,27736458
1545696533399,0.0485,444429,1,27736459
1545696534957,0.0031,444189,1,27736460
1545696534980,0.0080,444385,1,27736461
1545696535004,0.0115,444429,1,27736462
1545696535028,0.0123,444438,1,27736463
1545696535053,0.0016,444439,1,27736464
1545696535077,0.0100,444439,1,27736465
1545696535102,0.0075,444486,1,27736466
1545696535823,0.0080,444260,0,27736467
1545696537714,0.0082,444260,0,27736468
1545696537739,0.0450,444189,0,27736469
1545696537764,0.1632,444150,0,27736470
1545696537795,0.0080,444130,0,27736471
1545696537823,0.0007,444120,0,27736472
1545696537979,0.0005,444080,0,27736473
1545696539933,0.0008,444283,1,27736474
1545696539984,0.0091,444486,1,27736475
1545696542734,0.0080,444287,0,27736476
1545696542760,0.0080,444287,0,27736477
1545696542787,0.0008,444283,0,27736478
1545696542813,0.0100,444199,0,27736479
1545696542840,0.0005,444080,0,27736480
1545696542867,0.0021,444023,0,27736481
1545696543003,0.2320,444486,1,27736482
1545696543029,0.0100,444486,1,27736483
1545696543054,0.0010,444525,1,27736484
1545696543079,0.0050,444561,1,27736485
1545696543111,0.0050,444561,1,27736486
1545696543136,0.0010,444593,1,27736487
1545696543159,0.0084,444625,1,27736488
1545696543184,0.0118,444625,1,27736489
1545696543209,0.0100,444636,1,27736490
1545696543233,0.0929,444690,1,27736491
1545696543257,0.0600,444695,1,27736492
1545696543281,0.0029,444738,1,27736493
1545696543810,0.0077,444738,1,27736494
1545696543862,0.0123,444837,1,27736495
1545696544814,0.0100,444738,1,27736496
1545696544868,0.0001,444763,1,27736497
1545696545075,0.0101,444763,1,27736498
1545696551811,0.0001,444602,1,27736499
1545696553722,0.0080,444718,1,27736500
1545696553752,0.0080,444719,1,27736501
1545696555811,0.0200,444732,1,27736502
1545696557783,0.0050,444722,0,27736503
1545696558040,0.0300,444702,1,27736504
1545696558793,0.0100,444702,1,27736505
1545696559973,0.0497,444702,1,27736506
1545696560801,0.0050,444692,1,27736507
1545696561031,0.0030,444692,1,27736508
1545696561083,0.0020,444702,1,27736509
1545696562737,0.0010,444702,1,27736510
1545696566862,0.0001,444662,1,27736511
1545696567743,0.0655,444702,1,27736512
1545696570753,0.2261,444632,0,27736513
1545696570781,0.0080,444632,0,27736514
1545696570806,0.0600,444622,0,27736515
1545696570834,0.0100,444622,0,27736516
1545696573819,0.0080,444518,0,27736517
1545696573996,0.0020,444508,0,27736518
1545696574212,0.0060,444508,0,27736519
1545696574263,0.0600,444504,0,27736520
1545696574320,0.0440,444487,0,27736521
1545696574548,0.0031,444683,1,27736522
1545696574763,0.0969,444683,1,27736523
1545696574815,0.0112,444692,1,27736524
1545696574867,0.0100,444702,1,27736525
1545696576801,0.0080,444712,0,27736526
1545696576853,0.0250,444702,0,27736527
1545696577061,0.0600,444702,0,27736528
1545696578066,0.0010,444489,0,27736529
1545696578117,0.0100,444487,0,27736530
1545696578167,0.0100,444486,0,27736531
1545696578220,0.0100,444486,0,27736532
1545696578276,0.0100,444486,0,27736533
1545696578326,0.0010,444320,0,27736534
1545696578377,0.0100,444257,0,27736535
1545696578427,0.0200,444222,0,27736536
1545696578477,0.0280,444170,0,27736537
1545696578661,0.0200,444170,0,27736538
1545696578863,0.0020,444170,0,27736539
1545696578920,0.0180,444126,0,27736540
1545696579139,0.0123,444126,0,27736541
1545696579203,0.0077,444023,0,27736542
1545696579437,0.0100,444023,0,27736543
1545696580034,0.2160,444486,1,27736544
1545696580845,0.0460,444486,1,27736545
1545696582848,0.0007,444254,1,27736546
1545696586818,0.0052,444131,0,27736547
1545696586869,0.0448,444082,0,27736548
1545696596924,0.0020,444495,1,27736549
1545696597815,0.0031,444256,0,27736550
1545696597867,0.0049,444255,0,27736551
1545696598114,0.0009,444369,1,27736552
1545696598724,0.0051,444255,0,27736553
1545696598755,0.0049,444254,0,27736554
1545696598928,0.0200,444254,0,27736555
1545696599981,0.0005,444312,1,27736556
1545696600713,0.0060,444264,0,27736557
1545696600750,0.0040,444254,0,27736558
1545696602836,0.2000,444254,0,27736559
1545696603037,0.0100,444254,0,27736560
1545696603231,0.0061,444254,0,27736561
1545696603428,0.0061,444254,0,27736562
1545696603718,0.5000,444254,0,27736563
1545696603850,0.3136,444254,0,27736564
1545696605781,0.0060,444264,0,27736565
1545696605806,0.0040,444254,0,27736566
1545696606802,0.3092,444254,0,27736567
1545696607020,0.0060,444254,0,27736568
1545696607194,0.0061,444254,0,27736569
1545696607761,0.0200,444255,0,27736570
1545696610760,0.0100,444255,0,27736571
1545696610985,0.0508,444255,0,27736572
1545696611037,0.0251,444254,0,27736573
1545696612737,0.0060,444254,0,27736574
1545696612868,0.0061,444254,0,27736575
1545696612986,0.0061,444254,0,27736576
1545696614819,0.0004,444292,1,27736577
1545696616791,0.0200,444254,0,27736578
1545696617814,0.0052,444332,0,27736579
1545696618783,0.0100,444254,0,27736580
1545696619789,0.0112,444259,0,27736581
1545696619931,0.0088,444254,0,27736582
1545696620066,0.0061,444254,0,27736583
1545696620185,0.0061,444254,0,27736584
1545696620721,0.0061,444254,0,27736585
1545696623784,0.2000,444254,0,27736586
