Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,PL
1543031640000,486364,486765,486019,486765,0.3641,486392,0,-1,1096
1543031700000,486765,486765,486757,486764,0.0249,486761,-1,-1,1096
1543031760000,486764,486764,486764,486764,0.0,486764,0,-1,1096
1543031820000,486758,486759,486312,486312,0.364,486535,-1,-1,1096
1543031880000,486367,486367,486357,486357,0.1398,486362,-1,-2,1096
1543031940000,486362,486362,486001,486001,0.134,486181,-1,-2,1096
1543032000000,486327,487003,486327,486715,0.5293,486665,0,-1,1096
1543032060000,486925,487003,486743,486743,0.1605,486873,-1,-1,1096
1543032120000,486943,486943,486724,486724,0.0368,486833,-1,-2,1096
1543032180000,486724,486724,486724,486724,0.0,486724,0,-1,1096
1543032240000,486995,487742,486995,487287,0.4,487368,0,0,1096
1543032300000,486995,487257,486995,487202,0.0243,487126,0,0,1096
1543032360000,487686,488182,487572,488182,0.1358,487877,0,0,1096
1543032420000,487769,487937,487326,487392,0.2566,487631,-1,-1,1096
1543032480000,487328,487500,487297,487314,0.2878,487398,-1,-2,1096
1543032540000,487500,488017,487300,487304,0.2319,487658,-1,-2,1096
1543032600000,487304,487309,487300,487309,0.1277,487304,0,-1,1096
1543032660000,487304,487304,487299,487299,0.1394,487301,-1,-1,1096
1543032720000,487299,487299,487299,487299,0.0,487299,0,-1,1096
1543032780000,487279,487341,487148,487200,1.279,487244,-1,-1,1096
1543032840000,487331,487348,487331,487348,0.009,487339,0,-1,1096
1543032900000,487417,487512,487417,487424,0.0324,487464,0,0,1096
1543032960000,487400,487400,487307,487351,0.2182,487353,-1,-1,1096
1543033020000,487337,487337,487308,487308,0.0538,487322,-1,-2,1096
1543033080000,487308,487308,487218,487218,0.0498,487263,-1,-2,1096
1543033140000,487218,487218,487218,487218,0.0,487218,0,-1,1096
1543033200000,487222,487372,487222,487372,0.073,487297,0,0,1096
1543033260000,487464,487656,487387,487387,0.0224,487521,-1,-1,1096
1543033320000,487665,488324,487389,488324,0.52,487856,0,-1,1096
1543033380000,488327,488599,488327,488423,0.9778,488463,0,0,1096
1543033440000,488441,488502,488440,488492,1.5445,488471,0,0,1096
1543033500000,488492,488900,488450,488854,0.1797,488675,0,0,1096
1543033560000,488855,488900,488527,488560,0.593,488713,-1,-1,1096
1543033620000,488560,489221,488472,488552,1.2228,488846,-1,-2,1096
1543033680000,488601,488601,488348,488435,0.3374,488474,-1,-2,1096
1543033740000,488618,489014,488371,488533,0.9341,488692,-1,-2,1096
1543033800000,488533,489013,488405,488557,0.3317,488709,0,-1,1096
1543033860000,488565,488638,488549,488638,0.0454,488593,0,0,1096
1543033920000,488549,488856,488369,488445,0.7152,488612,-1,-1,1096
1543033980000,488450,488676,488339,488346,2.145,488507,-1,-2,1096
1543034040000,488363,488363,488193,488194,0.8685,488278,-1,-2,1096
1543034100000,488194,488399,487954,488303,0.6783,488176,0,-1,1096
1543034160000,488222,488222,487475,487897,3.0287,487848,-1,-1,1096
1543034220000,487907,488204,487897,487915,0.1552,488050,0,-1,1096
1543034280000,487915,488004,487368,487368,2.3011,487686,-1,-1,1096
1543034340000,487620,487979,487412,487412,0.13,487695,-1,-2,1096
1543034400000,487464,487464,487428,487428,0.12,487446,-1,-2,1096
1543034460000,487574,487574,487281,487486,0.84,487427,-1,-2,1096
1543034520000,487469,487486,487469,487486,0.0064,487477,0,-1,1096
1543034580000,487344,487357,487281,487281,0.9327,487319,-1,-1,1096
1543034640000,487248,487678,487219,487578,0.7438,487448,0,-1,1096
1543034700000,487228,487854,487228,487408,0.4977,487541,0,0,1096
1543034760000,487408,487408,487231,487231,0.0665,487319,-1,-1,1096
1543034820000,487231,487239,487218,487218,0.1646,487228,-1,-2,1096
1543034880000,487223,487223,487200,487200,0.222,487211,-1,-2,1096
1543034940000,487190,487252,487133,487133,0.024,487192,-1,-2,1096
1543035000000,487133,487133,487000,487000,0.8311,487066,-1,-2,1096
1543035060000,487000,487000,487000,487000,1.1931,487000,0,-1,1096
1543035120000,486805,486855,486805,486855,0.059,486830,0,0,1096
1543035180000,486990,486994,486990,486994,0.01,486992,0,0,1096
1543035240000,487087,487087,487015,487065,0.7037,487051,-1,-1,1096
1543035300000,487000,487010,487000,487000,1.6085,487005,0,-1,1096
1543035360000,487059,487529,487000,487000,0.2,487264,-1,-1,1096
1543035420000,487000,487201,487000,487201,0.0342,487100,0,-1,1096
1543035480000,487201,487201,486600,486600,0.8243,486900,-1,-1,1096
1543035540000,486770,486831,486601,486831,0.0351,486716,0,-1,1096
1543035600000,486831,487479,486821,487479,0.5774,487150,0,0,1096
1543035660000,486952,487499,486600,486605,3.8346,487049,-1,-1,1096
1543035720000,486605,486605,486411,486411,3.3008,486508,-1,-2,1096
1543035780000,486411,486411,484810,484996,6.0597,485610,-1,-2,1096
1543035840000,484823,485002,484000,484449,1.0716,484501,-1,-2,1096
1543035900000,484449,485000,484448,484670,2.8821,484724,0,-1,1096
1543035960000,484936,485000,484696,485000,0.1247,484848,0,0,1096
1543036020000,484989,484997,484766,484990,1.1241,484881,0,0,1096
1543036080000,484990,485811,484986,484986,2.3623,485398,-1,-1,1096
1543036140000,484986,485253,484554,484564,1.2334,484903,-1,-2,1096
1543036200000,484950,484950,483476,483476,0.6048,484213,-1,-2,1096
1543036260000,483480,484036,483000,484013,1.4989,483518,0,-1,1096
1543036320000,484042,484848,484042,484391,0.25,484445,0,0,1096
1543036380000,484792,484846,484507,484831,0.4647,484676,0,0,1096
1543036440000,484579,484600,483943,484228,0.5156,484271,-1,-1,1096
