Time,Start,Max,Min,End,Tot_trans,Mid,Difindex,Buyindex,PL
1543548540000,482397,482652,482257,482300,3.2872,482454,-1,-1,-1350
1543548600000,482300,482699,482300,482399,7.667,482499,0,-1,-1350
1543548660000,482401,483294,482391,483294,1.7599,482842,0,0,-1350
1543548720000,483284,483677,483117,483500,3.3665,483397,0,0,-1350
1543548780000,483427,483994,483292,483865,1.659,483643,0,0,-1350
1543548840000,483994,484500,483994,484335,1.1578,484247,0,0,-1350
1543548900000,484335,484500,484214,484500,0.9029,484357,0,0,-1350
1543548960000,484500,484725,484218,484724,2.5602,484471,0,0,-1350
1543549020000,484525,484725,484356,484560,6.1416,484540,0,0,-1350
1543549080000,484459,484459,483348,483837,5.8638,483903,-1,-1,-1350
1543549140000,483836,484762,483836,484762,5.7164,484299,0,-1,-1350
1543549200000,484762,484913,484372,484600,5.0053,484642,-1,-1,-1350
1543549260000,484887,485089,484600,485029,3.661,484844,0,-1,-1350
1543549320000,485079,486087,484600,485629,4.0587,485343,0,0,-1350
1543549380000,485336,485759,485281,485291,0.6045,485520,-1,-1,-1350
1543549440000,485351,485525,485281,485519,2.5124,485403,0,-1,-1350
1543549500000,485519,485931,485325,485325,2.8822,485628,-1,-1,-1350
1543549560000,485325,485610,484001,484659,7.4138,484805,-1,-2,-1350
1543549620000,484854,484963,484332,484471,2.1499,484647,-1,-2,-1350
1543549680000,484470,484673,484000,484207,2.5726,484336,-1,-2,-1350
1543549740000,484186,484186,483942,483953,0.4996,484064,-1,-2,-1350
1543549800000,483910,483910,483230,483585,21.1968,483570,-1,-2,-1350
1543549860000,483698,483841,483466,483614,0.789,483653,-1,-2,-1350
1543549920000,483806,484798,483697,484287,3.5887,484247,0,-1,-1350
1543549980000,484287,484633,484276,484276,0.6793,484454,-1,-1,-1350
1543550040000,484188,484188,483472,483850,3.8295,483830,-1,-2,-1350
1543550100000,483739,484149,483472,483477,0.7273,483810,-1,-2,-1350
1543550160000,483472,483505,483472,483500,1.2432,483488,0,-1,-1350
1543550220000,483500,484760,483500,484760,1.2482,484130,1,1,-1350
1543550280000,484775,484776,483581,484500,7.8271,484178,-1,0,-1350
1543550340000,484501,484511,483675,483708,4.5656,484093,-1,-2,-1350
1543550400000,483529,483849,483022,483642,2.92,483435,0,-1,-1350
1543550460000,483642,484798,483642,484467,5.7965,484220,0,0,-1350
1543550520000,484502,484791,484500,484700,0.5544,484645,0,0,-1350
1543550580000,484700,484810,483643,484299,6.4297,484226,-1,-1,-1350
1543550640000,484022,484288,483642,483945,1.3287,483965,-1,-2,-1350
1543550700000,483816,485034,483816,484175,3.7384,484425,0,-1,-1350
1543550760000,484000,484124,483000,483001,9.309,483562,-1,-1,-1350
1543550820000,483023,483399,483000,483005,1.0132,483199,-1,-2,-1350
1543550880000,483005,484274,483005,483394,6.6035,483639,0,-1,-1350
1543550940000,483391,483502,482300,482375,7.2715,482901,-1,-1,-1350
1543551000000,482300,482803,482300,482803,1.8252,482551,0,-1,-1350
1543551060000,482803,483200,482529,482677,1.4407,482864,-1,-1,-1350
1543551120000,482646,482869,482186,482301,4.7146,482527,-1,-2,-1350
1543551180000,482006,482311,481653,482066,7.0543,481982,0,-1,-1350
1543551240000,481835,482199,481000,481000,16.7074,481599,-1,-1,-1350
1543551300000,480966,481630,479841,481151,15.4148,480735,0,-1,-1350
1543551360000,481092,481594,480272,480275,18.3416,480933,-1,-1,-1350
1543551420000,480275,481455,480205,481455,2.6007,480830,1,0,-1350
1543551480000,481455,481600,481301,481600,1.2482,481450,0,1,-1350
1543551540000,481279,482839,480479,482304,3.685,481659,1,1,-1350
1543551600000,482085,482300,481880,481891,0.555,482090,-1,0,-1350
1543551660000,481723,482148,481570,481878,0.7831,481859,0,-1,-1350
1543551720000,481877,482751,481877,482750,1.9629,482314,0,0,-1350
1543551780000,482580,482751,481600,481845,4.1803,482175,-1,-1,-1350
1543551840000,481575,481905,481500,481854,1.5752,481702,0,-1,-1350
1543551900000,481592,482251,481530,482251,0.5824,481890,0,0,-1350
1543551960000,482385,483000,482385,483000,4.0021,482692,0,0,-1350
1543552020000,483000,483577,482840,482840,2.1571,483208,-1,-1,-1350
1543552080000,482900,483881,482900,483881,0.0899,483390,0,-1,-1350
1543552140000,483837,485000,483817,483934,8.106,484408,0,0,-1350
1543552200000,483815,483815,482141,482756,3.5157,482978,-1,-1,-1350
